row_index,event_key,company,ticker,year,quarter,correctable,prior_closing_date,prior_close,next_opening_date,next_day_open,release_date,release_timing,release_date_source,entry_shifted_vs_legacy,report_date_corrected,original_prior_close,original_next_day_open,price_delta_flag,not_correctable_reason
319,Salesforce|2026|Q2,Salesforce,CRM,2026,Q2,TRUE,2025-09-03,256.45,2025-09-04,240.06,2025-09-03,after_hours,returns_matrix.csv,FALSE,YES,256.45,240.06,NO,
320,Salesforce|2026|Q3,Salesforce,CRM,2026,Q3,TRUE,2025-12-03,238.72,2025-12-04,243.69,2025-12-03,after_hours,returns_matrix.csv,FALSE,YES,238.72,243.69,NO,
321,Salesforce|2026|Q4,Salesforce,CRM,2026,Q4,TRUE,2026-02-25,191.75,2026-02-26,196.76,2026-02-25,after_hours,returns_matrix.csv,FALSE,YES,191.75,196.76,NO,
322,UnitedHealth|2025|Q2,UnitedHealth,UNH,2025,Q2,TRUE,2025-07-28,282.12,2025-07-29,265.7,2025-07-29,pre_market,returns_matrix.csv,FALSE,YES,282.12,265.7,NO,
323,UnitedHealth|2025|Q3,UnitedHealth,UNH,2025,Q3,TRUE,2025-10-27,365.98,2025-10-28,380.68,2025-10-28,pre_market,returns_matrix.csv,FALSE,YES,365.98,380.68,NO,
324,UnitedHealth|2025|Q4,UnitedHealth,UNH,2025,Q4,TRUE,2026-01-26,351.64,2026-01-27,293.97,2026-01-27,pre_market,returns_matrix.csv,FALSE,YES,351.64,293.97,NO,
325,Freeport-McMoRan|2025|Q2,Freeport-McMoRan,FCX,2025,Q2,FALSE,,,,,,,,,NO,45.8,44.66,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
326,Union Pacific|2025|Q2,Union Pacific,UNP,2025,Q2,FALSE,,,,,,,,,NO,231.0,226.0,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
327,UnitedHealth|2025|Q2,UnitedHealth,UNH,2025,Q2,TRUE,2025-07-28,282.12,2025-07-29,265.7,2025-07-29,pre_market,returns_matrix.csv,FALSE,YES,282.12,265.7,NO,
328,Caterpillar|2025|Q2,Caterpillar,CAT,2025,Q2,TRUE,2025-08-04,433.7,2025-08-05,427.65,2025-08-05,pre_market,returns_matrix.csv,FALSE,YES,433.7,427.65,NO,
329,Home Depot|2025|Q2,Home Depot,HD,2025,Q2,FALSE,,,,,,,,,NO,394.7,401.02,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
330,Adobe|2025|Q3,Adobe,ADBE,2025,Q3,FALSE,,,,,,,,,NO,350.55,361.1,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
