document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
SCHW_FQ3_2025,SCHW,2025-10-16,2025-10-16,93.41,0.014024,0.007815,0.017985,0.012739,0.010705,0.01575,0.002139,0.001864,-0.004093,-0.018342,20260820_020202,1,NO
SCHW_FQ4_2025,SCHW,2026-01-21,2026-01-21,101.79,0.012575,0.022203,0.011298,0.016505,0.020532,0.006082,0.016979,0.000603,0.001885,0.01938,20260820_020202,1,NO
C_FQ1_2025,C,2025-04-15,2025-04-14,63.22,0.015343,0.017558,0.000475,0.021038,0.089529,0.026374,0.039786,0.044614,0.025111,0.058037,20260820_020202,1,NO
C_FQ2_2025,C,2025-07-15,2025-07-14,87.5,0.013143,0.0368,0.063886,0.058857,0.092,0.010571,0.033457,0.055142,0.048056,0.070912,20260820_020202,1,NO
C_FQ3_2025,C,2025-10-14,2025-10-13,96.1,-0.007596,0.038918,0.001665,0.033299,0.050884,-0.014527,0.034478,-0.001597,0.019618,0.01339,20260820_020202,1,NO
C_FQ4_2025,C,2026-01-14,2026-01-13,116.3,0.013844,-0.033448,0.014961,-0.02098,-0.018057,0.007745,-0.036171,0.033473,-0.018981,-0.023387,20260820_020202,1,NO
KO_FQ1_2026,KO,2026-04-28,2026-04-27,75.44,0.054083,0.038574,0.044008,0.036453,0.042683,0.055052,0.038728,0.031419,0.019479,0.005462,20260820_020202,1,NO
KO_FQ2_2025,KO,2025-07-22,2025-07-21,70.07,-0.008848,-0.005851,-0.013843,-0.028258,-0.015841,-0.013126,-0.014359,-0.026946,-0.038435,-0.014426,20260820_020202,1,NO
KO_FQ4_2025,KO,2026-02-10,2026-02-09,77.97,-0.017186,-0.014878,0.01321,0.020392,0.03527,-0.023356,-0.014646,0.028193,0.028816,0.033782,20260820_020202,1,NO
COIN_FQ1_2026,COIN,2026-05-07,2026-05-07,192.96,-0.035811,0.042496,0.076078,0.098725,0.003109,-0.04039,0.03424,0.067056,0.076048,-0.012118,20260820_020202,1,NO
COIN_FQ3_2025,COIN,2025-10-30,2025-10-30,328.51,0.0228,0.046483,-0.064503,-0.101336,-0.138108,0.015136,0.043202,-0.057752,-0.087333,-0.12665,20260820_020202,1,NO
COIN_FQ4_2025,COIN,2026-02-12,2026-02-12,141.09,0.089376,0.164647,0.162733,0.214473,0.246368,0.088759,0.163942,0.155365,0.202496,0.239439,20260820_020202,1,NO
LLY_FQ1_2026,LLY,2026-04-30,2026-04-29,851.21,0.055885,0.097966,0.137122,0.159585,0.193301,0.052281,0.095197,0.130012,0.141607,0.152239,20260820_020202,1,NO
LLY_FQ3_2025,LLY,2025-10-30,2025-10-29,813.53,0.029464,0.038069,0.102025,0.138016,0.251066,0.021801,0.034788,0.108776,0.152019,0.262525,20260820_020202,1,NO
LLY_FQ4_2025,LLY,2026-02-04,2026-02-03,1003.46,0.071413,0.103303,0.054531,0.021466,0.017041,0.079064,0.115792,0.043223,0.013057,0.019533,20260820_020202,1,NO
GS_FQ1_2025,GS,2025-04-14,2025-04-11,494.44,0.03147,0.019295,0.009324,0.013996,0.105089,0.03045,0.022095,0.032899,0.036013,0.076895,20260820_020202,1,NO
GS_FQ1_2026,GS,2026-04-13,2026-04-10,907.8,-0.035525,-0.018738,-0.009154,0.019993,0.021051,-0.037843,-0.030922,-0.031833,-0.012976,-0.021319,20260820_020202,1,NO
GS_FQ2_2025,GS,2025-07-16,2025-07-15,702.51,0.008527,0.008982,0.008185,-0.002989,0.04195,0.008238,0.002862,0.000896,-0.018993,0.025545,20260820_020202,1,NO
GS_FQ2_2026,GS,2026-07-14,2026-07-13,1045.91,0.037374,0.08996,0.047375,0.00872,0.002218,0.034169,0.085996,0.058734,0.013441,0.016809,20260820_020202,1,NO
GS_FQ3_2025,GS,2025-10-14,2025-10-13,786.78,-0.028382,-0.020361,-0.036465,-0.029818,0.00408,-0.035313,-0.024801,-0.039727,-0.043499,-0.033415,20260820_020202,1,NO
