scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
EVENT,NFLX 2026-01-20,1,170,1345.49,79.94,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GOOGL 2025-10-29,1,170,1187.04,-78.51,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MSFT 2025-01-29,1,170,1343.96,78.41,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DELL 2025-11-25,1,170,1188.5,-77.05,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UNH 2025-07-28,1,170,1191.67,-73.88,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LLY 2026-04-29,1,170,1194.48,-71.07,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PUM.DE 2025-05-07,1,170,1331.09,65.54,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MET 2025-08-06,1,170,1200.9,-64.65,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVDA 2025-11-19,1,170,1201.02,-64.53,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,WMT 2026-05-20,1,170,1202.76,-62.79,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVO 2026-02-03,1,170,1205.75,-59.8,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DAL 2025-04-09,1,170,1206.25,-59.3,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UAL 2025-04-15,1,170,1323.04,57.49,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,ABNB 2025-11-06,1,170,1212.78,-52.77,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UNH 2025-10-27,1,170,1214.04,-51.51,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AVGO 2026-03-04,1,170,1214.42,-51.13,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMZN 2026-04-29,1,170,1216.19,-49.36,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,COIN 2026-05-07,1,170,1219.63,-45.92,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GS 2025-04-11,1,170,1311.42,45.87,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GS 2026-04-10,1,170,1220.01,-45.54,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UBER 2026-02-03,1,170,1308.65,43.1,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,WMT 2025-11-19,1,170,1223.08,-42.47,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,JNJ 2025-07-15,1,170,1223.21,-42.34,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVDA 2025-02-26,1,170,1306.91,41.36,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GS 2025-10-13,1,170,1306.91,41.36,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,TSLA 2026-04-22,1,170,1225.0,-40.55,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UAL 2026-01-20,1,170,1225.65,-39.9,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,BAC 2025-10-14,1,170,1227.58,-37.97,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LLY 2025-10-29,1,170,1227.71,-37.84,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMKBY 2014-02-28,1,170,1227.97,-37.58,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SPOT 2026-02-10,1,170,1228.61,-36.94,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CMCSA 2026-01-28,1,170,1230.43,-35.12,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SBUX 2025-10-29,1,170,1299.27,33.72,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,WMT 2025-05-14,1,170,1232.11,-33.44,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LNVGY 2026-02-12,1,170,1232.76,-32.79,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVO 2025-05-07,1,170,1234.59,-30.96,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MSFT 2025-10-29,1,170,1295.41,29.86,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,COIN 2025-10-30,1,170,1236.42,-29.13,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CRM 2025-12-03,1,170,1239.04,-26.51,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,KHC 2026-02-11,1,170,1239.17,-26.38,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AAPL 2025-10-30,1,170,1239.3,-26.25,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,HOOD 2025-11-05,1,170,1291.15,25.6,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,C 2025-04-15,1,170,1240.48,-25.07,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMKBY 2025-05-07,1,170,1290.3,24.75,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,BCS 2025-10-22,1,170,1240.88,-24.67,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MET 2026-02-04,1,170,1241.27,-24.28,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CAT 2026-01-28,1,170,1242.06,-23.49,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PYPL 2025-04-29,1,170,1243.38,-22.17,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,BA 2025-10-29,1,170,1244.44,-21.11,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,BKNG 2025-10-28,1,170,1246.03,-19.52,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,HLT 2025-04-29,1,170,1246.83,-18.72,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LOW 2026-05-20,1,170,1246.83,-18.72,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NKE 2024-12-19,1,170,1246.96,-18.59,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVO 2025-11-05,1,170,1246.96,-18.59,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,TSLA 2026-01-28,1,170,1247.09,-18.46,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2026-07-09,1,170,1247.36,-18.19,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,STAN.L 2025-10-30,1,170,1283.68,18.13,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AAPL 2026-01-29,1,170,1283.54,17.99,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NFLX 2025-04-17,1,170,1283.12,17.57,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,C 2025-10-14,1,170,1248.69,-16.86,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UAL 2025-10-15,1,170,1281.72,16.17,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LMT 2025-04-22,1,170,1281.58,16.03,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,C 2026-01-14,1,170,1249.62,-15.93,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,JPM 2026-04-14,1,170,1279.48,13.93,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CMG 2025-04-23,1,170,1279.34,13.79,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,KHC 2025-02-12,1,170,1252.43,-13.12,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,JNJ 2025-10-13,1,170,1252.57,-12.98,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GS 2026-01-14,1,170,1278.37,12.82,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MET 2025-11-05,1,170,1252.83,-12.72,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PYPL 2025-07-29,1,170,1252.97,-12.58,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,FDX 2025-09-18,1,170,1277.95,12.4,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DELL 2025-05-29,1,170,1253.24,-12.31,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MU 2025-09-23,1,170,1277.81,12.26,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,F 2025-07-30,1,170,1253.77,-11.78,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LMT 2025-07-22,1,170,1277.12,11.57,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PFE 2025-04-28,1,170,1254.04,-11.51,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,TGT 2025-05-21,1,170,1254.71,-10.84,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMKBY 2025-08-07,1,170,1255.12,-10.43,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2023-04-25,1,170,1275.87,10.32,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LIN 2026-05-01,1,170,1255.25,-10.3,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2024-07-11,1,170,1275.45,9.9,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GIS 2026-07-01,1,170,1275.04,9.49,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SPOT 2025-11-04,1,170,1274.76,9.21,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LULU 2026-03-17,1,170,1256.46,-9.09,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MCD 2026-05-07,1,170,1273.24,7.69,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NVDA 2025-08-27,1,170,1272.83,7.28,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PYPL 2025-10-28,1,170,1272.83,7.28,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,BCS 2026-04-28,1,170,1272.83,7.28,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PYPL 2026-05-05,1,170,1272.55,7.0,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2024-10-08,1,170,1258.62,-6.93,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PUM.DE 2026-02-26,1,170,1258.76,-6.79,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DAL 2025-10-09,1,170,1258.89,-6.66,n/a (fast-path),n/a (fast-path),n/a (fast-path)
